,Bintang,Pengguna,Komen,Tanggal
85,Rated 1 stars out of five stars,Aki Baihaki,"Fundamental issue is inconsistent base measurements. sometimes the price is per kg, 1/2 kg, some grams. Confusing (and cheating marketing tactics?) and if this app cannot go international because in some country it's against the law to not follow standard base measurement.","July 6, 2019"
86,Rated 5 stars out of five stars,mulyara,"Good application, easy to navigate, fast","October 12, 2019"
87,Rated 5 stars out of five stars,wismi nurisdiani,"Helpfully apps for working wife/mom. Safe energy, and time. Makes all thing simple","November 3, 2019"
88,Rated 5 stars out of five stars,Ve Ll,great product. affordable price and fast delivery!,"October 4, 2019"
89,Rated 5 stars out of five stars,Nirwanto Maingkolang,Fresh! Happy to help local farmers.,"December 13, 2019"
90,Rated 5 stars out of five stars,ZeKKe Games,"Please add Central Java because I really need this app, thank you","November 14, 2019"
91,Rated 5 stars out of five stars,mia puspita,Very nice app easy to use..i like it,"November 21, 2019"
92,Rated 1 stars out of five stars,Diajeng Ayu,I cannot order anything because the apps always closed suddenly,"November 30, 2019"
93,Rated 5 stars out of five stars,masagus ridwan,I love sayurbox. Very user friendly,"January 10, 2020"
94,Rated 5 stars out of five stars,ayu pratiwi,Have been using this app a few times now to do my groceries. Never been disappointed!,"September 20, 2019"
95,Rated 5 stars out of five stars,Elvina Kurniawati,this application makes it very easy for me to get used to a healthy life and buying the best quality vegetables and fruits,"March 25, 2019"
96,Rated 2 stars out of five stars,Reinaldo Gunawan,please provide re-order feature and allow option to cancel entire order if any product is missing instead of giving store credit for missing item(s). i will give 5 stars once these features are deployed. thanks.,"June 20, 2019"
97,Rated 5 stars out of five stars,Shiv kumar Garg,"Good app speciallt for certain item you cant find in pasar can find here, need to add more fruits like apple and other","September 16, 2019"
98,Rated 5 stars out of five stars,Syahrina Pahlevi,One of the best groceries. So easy and always on time.,"October 2, 2019"
99,Rated 5 stars out of five stars,Qurratu Aini Firdausi,"Nice UI, great quality product, and has pretty wide selection of items.","August 25, 2019"
100,Rated 5 stars out of five stars,Nurul Hanifa,"Very recommended!! Sayurbox always deliver fresh vegetables & fruits Very helpful especially for workers who want to consume fruits and vegetables for healthy living, many promos and free shipping without having to bother spending time to shopping and carrying groceries.","March 25, 2019"
101,Rated 5 stars out of five stars,Bena Gannie,"Great service , on time delivery n for sure fresh veggies n fresh fruits...","September 28, 2019"
102,Rated 5 stars out of five stars,Ajeng Ghina Farhani,"Easy to use,lots of different payment options, having option to have your products packaged without plastic.","July 25, 2019"
103,Rated 5 stars out of five stars,ODD Journey and diary,Always satisfied with their services. Helpful apps so far. Keep up the good work.,"March 12, 2019"
104,Rated 5 stars out of five stars,Arif Zamani,"Good apps, easy to use and love the quality of fruits and vegies here","November 14, 2019"
